Speaker,Dialogue
JACK,"(he lets out a whimper at the sword) Jack looks, pulls a  bayline pin out of the capstan, uses that to block Jones' attack -- Jack dodges, keeping the capstan between them. Jones goes straight through the capstan -- Jack spins the capstan, turning Jones around to come out the other side -- As Will battles Bootstrap, giving ground -- 667"
JACK,"Do you? Jack stands with the chest open, and Jones still-beating heart in his hand. He squeezes it -- and Jones staggers, clutches at his chest. Jack smiles. He's got it all under control. Finally. Jones regains his balance ... takes stock of the situation. JACK  It's a heady tonic ... (tosses the heart in his hand) ... holding life and death in the palm of your hand."
JACK,"Self-serving and dishonest I'll give you, but cruel is a matter of perspective, is it not?"
JACK,"I've never been one for tradition. 677 ON THE ENDEAVOUR, Beckett stands at the helm, with the Armada re- 677 forming behind him. 678 ON THE PEARL, Jack moves toward the wheel, shouts orders: 678"
JACK,Close haul her! Luff the sails and lay her in irons!
JACK,Belay that belay that!
JACK,"Reasonable. 681 ON THE ENDEAVOUR, as Beckett sails in for the kill -- 681*"
JACK,Full canvas!
JACK,
JACK,"I've never seen a retreat from the other side before. Gibbs, you may fling my hat. Gibbs takes Jack's hat and throws it up into the air -- 694"
JACK,You keep telling yourself that.
JACK,Every king needs a queen.
JACK,"Granted, it tends to list to port, and has been known on occasion to frighten young women, but I promise, you will not be disappointed."
JACK,"Please, love. That is a dingy. My vessel is magnificent and fierce and huge-ish and ... gone. Why is it gone? Giselle spots the Black Pearl, far out to sea."
JACK,"Yes, there. There it is. Why is it there?  It's much larger up close."
JACK,Mr. Gibbs. Is there any particular reason my ship is gone?
JACK,"Girls! Will you PLEASE! Shut it! The ladies freeze, mid-motion tugging each other's hair. JACK  Listen to me. Yes, I lied to you, no, I don't love you, of course it makes you look fat, I have never been to Brussels, it is pronounced ""egregious,"" no, I haven't met Pizarro but I love his pies, and all of this pales to insignificance in light of the fact that my ship is gone! Savvy? SLAP! Jack's head is snapped to the side. SLAP! Back the other way. The girls storm off. Gibbs looks at Jack."
JACK,Give nothing back. It is a farewell. Gibbs heads off after the ladies.
JACK,"... we're devils and black sheep, really bad eggs ... Drink up me hearties, yo ho ... And so Jack Sparrow leaves us the way he arrived, alone, on a small boat, sailing into the sunset -- 700"
JACK,"All this -- for me? Jack gestures for everyone to sit, sit, sit, please sit, as he takes his seat. JACK  * All right, what do we have here? *"
JACK,Fft fft fft -- not necessary.  You were * saying?
JACK,Is that so? It says Jack Sparrow here.
JACK,I think that would be a poor defense. Unless you want to be bludgeoned like a harp seal.  The prisoner claims to be innocent of being Jack Sparrow. How do you find?
JACK,Foreman! Your finding! Guilty?
JACK,"Yes? The crowd screams for blood. Hang ‘em, string ‘em up. *"
JACK,"Shut it! You have been found guilty, and * so are sentenced to hang by the tongue until dead.  * Neck. I meant to say, neck. The courtroom STOMPS and CHEERS. Jack listens -- * JACK  What say ye? What? What is that?  You wish me to spare this wretched man’s * life? * No, they don’t want that! ""Kill him!"" ""Hang the scum!"" Etc. * JACK  * Give the people what they want. * POTC: On Stranger Tides -WD- 11/3/10       5."
JACK,"Not to worry. I’ve paid off the driver.  In ten minutes we'll be outside of Londontown, horses waiting. Tonight we make the coast. Then it's just a matter of finding a ship. Jack opens his coat, produces a flask. Gibbs’ mood brightens."
JACK,"What happened, Gibbs? I thought you had another gig."
JACK,Am not.
JACK,Am not.
JACK,"Truth is, Jack Sparrow arrived in town just this morning to rescue one Joshmamee Gibbs from one appointment with the gallows. You're alive, so there's a start."
JACK,"So. There’s another Jack Sparrow out there, sullying my good name."
JACK,"Aye. But, an imposter with a ship."
JACK,"That could be our ticket. Jack corks the flask, puts it back in his jacket. Gibbs notices the rolled-up map to the Fountain of Youth."
JACK," Circumstances arose, ensued, and forced a compelling insight regarding discretion and valor --"
JACK,"So untrue! I am just as bent as ever, hellishly so. I’ll taste those waters, Gibbs, mark my words --"
JACK,"And I’ll not have it said, there’s a point on the map Captain Sparrow never found -- The carriage stops. Jack frowns, pockets the map. POTC: On Stranger Tides -WD- 11/3/10       8."
JACK,No.
JACK,There should be a Captain in there somewhere.
JACK,"The face, mmm, familiar ..."
JACK,Doesn’t ring a bell.
JACK,Vicious rumor. Not true.
JACK,"It may be true that that’s what you were told, but it’s nonetheless false that I have come to London to procure a crew."
JACK,"No, I am Jack Sparrow, but it’s not true that Jack Sparrow has come to London to procure a crew."
JACK,"No, no. I am Jack Sparrow. And I am in London. But I am not here to procure a crew. That’s someone else."
JACK,"Wait! I am Jack Sparrow, the one and only. And I am in London."
JACK,What? Jack’s rattling gets even louder. George waves a hand.
JACK,"How much do you weigh? The Guard just sneers at him. He pulls away the chains. Jack stands. Picks up a napkin, dabs his face. POTC: On Stranger Tides -WD- 11/3/10       11. CONTINUED:  14 14"
JACK,No.
JACK,The truth? I lost it. Quite recently in fact.
JACK,Absolutely. Yes!
JACK,"With your permission? POTC: On Stranger Tides -WD- 11/3/10       12. CONTINUED:  14 14 Jack drags a heavy chair scra-a-a-ping across the floor, next to the table. Positions it just so. Sits, puts his feet up. JACK  You’ll be providing, then, a ship and a crew?"
JACK,Hector. Good to see a fellow pirate make something of himself.
JACK,As may be. But first. What became of the Pearl?
JACK,Lost? POTC: On Stranger Tides -WD- 11/3/10       13. CONTINUED:  14 14
JACK,"If that ship be lost, properly, you should be lost with it."
JACK,"You, sir, have stooped."
JACK,"But, Hector ... the wig. Suddenly, Jack slams the Guards together, shoves their rifles upwards; they both FIRE -- -- bullets hit the chandelier, a rope SNAPS; one side drops, sending the chandelier SWINGING. Jack leaps onto the table, races along, knocking away food -- POTC: On Stranger Tides -WD- 11/3/10       13A-14. CONTINUED:  14 14 -- reaches down, picks up the chair  and FLINGS IT AHEAD into the stained glass window -- They are on the second floor, it’s a long way down. Jack grabs the ropes to the curtains, just as the Tall Guard comes barreling his way -- -- the Tall Guard slips on the napkin  -- Out of control, the Tall Guard flails out the window. Jack politely hands the curtain ropes to him as he passes by. The Tall Guard plummets down. Jack, hanging onto the other rope, RISES UP just ahead -- -- of the slashing sword blade of the Captain of the Guards -- From the valance, Jack leaps for the chandelier (catching it just as it swings towards him) -- -- and Jack swings from the chandelier to the high balcony.  He pauses, raises a hand -- along the way, Jack has recovered the creme puff. He bites, chews, swallows, and is gone."
JACK,"If enough people keep saying it, it must be true. Teague notices a new dangle in Jack’s hair."
JACK,Broke it. Swallowed it. Sifted it. Retrieved it. Polished it.  Fashion.
JACK,You’ve been there.
JACK,Depends on the light.
JACK,On the map. There was a Chalice --
JACK,For?
JACK,Set sail? Love to. For that I’d need a ship.
JACK,I hear you be recruiting a crew.
JACK,Don’t you know who I am?
JACK,"You’ve stolen me and I’m here to take myself back. The two Jacks hide behind a post, peek out at each other. The two Jacks leap forward at the same instant, with exactly the same slashing attack. Swords CLASH; the pair are completely evenly matched. The two leap onto the hearth, face off.  When Jack moves, Other Jack does too. JACK  Stop doing that! Jack dodges, rolls expertly onto a crate. The other Jack executes the exact same roll. Jack tosses his sword back and forth between right and left hand. Other Jack does so too. The pair fight up a ramp. Other Jack rolls barrels down. Jack evades -- IN THE RAFTERS, Other Jack spins, ready -- But no one is there. Other Jack searches, looks down through the rafters -- nothing. Suddenly, a set of hanging barrels PLUMMET down. Other Jack springs back. Thinks, spins, raises a sword as Jack rises up behind, pulled up by the rope that holds the barrels -- -- their swords clash -- ON THE RAFTERS, they battle. Other Jack swings a pulley at Jack - - Jack grabs it, the pulley breaks, Jack lands on a stack of barrels. Other Jack leaps down, fights as barrels roll out from beneath them. A flash of intricate swordplay -- JACK  Only one person alive knows that move. Suddenly -- shockingly! -- Jack leans forward and KISSES Jack. Full on. A good kiss. Jack pulls back -- POTC: On Stranger Tides -WD- 11/3/10       19. CONTINUED:  24 24 JACK  So that’s what that’s like. Other Jack is smiling, eyes closed, enjoying the aftermath of the kiss. JACK  Hello, Angelica. Jack pulls away her fake beard."
JACK,I am touched at this most sincerest form of flattery. But why? Jack uses his sword to flip away her hat.
JACK,That is not a compliment.
JACK,"For leaving you? Jack rips open her bodice, revealing a very womanly figure."
JACK,A gentleman allows a lady to maintain her fictions.
JACK,"There is one pecadilly up with which I will not put. I will be impersonated as Captain, nothing less."
JACK,I could use a ship. POTC: On Stranger Tides -WD- 11/3/10       20. CONTINUED:  25 25
JACK,There be a lot of hear-telling going on these days.
JACK,"Angelica, don’t fret, you've still a few usable years left."
JACK,"Ah. Regarding the Fountain. Waste of time, really. Unless we have -- AT THE DOOR, Scrum appears. He glances back out into the pub,"
JACK,I may have unintentionally slighted some King or other.
JACK,"Implying the need? There is a SLAM! at the door. Scrum locks it, puts his weight on it."
JACK,You demonstrated a lot of technique for someone I supposedly corrupted. POTC: On Stranger Tides -WD- 11/3/10       21. CONTINUED:  25 25
JACK,Mistook it for a brothel. Honest mistake. The doors burst open. GUARDS swarm in -- POTC: On Stranger Tides -WD- 11/3/10       22.
JACK,"We? Speak again. Unlike some who purport to be but cannot in fact hold a candle to, I, am Captain Jack Sparrow. Jack leaps forward, stabs another barrel, sending more ale gushing. He takes a quick drink -- Angelica guards his back -- Jack and Angelica reach a trap door."
JACK,"Requires dangerous remedy. Jack grabs a rope, eyes the ceiling, slashes another rope nearby, ready to fly upwards -- Jack’s rope slithers to the ground. Angelica slashes a lever; the trapdoor OPENS and they drop -- POTC: On Stranger Tides -WD- 11/3/10       23. CONTINUED: "
JACK,How can you say I used you?
JACK,"I know, but how can you say it? They collapse onto the wet stones, catch their breaths."
JACK,What is what?
JACK,You wouldn’t happen to have two silver chalices? Circa Ponce de Leon?
JACK,I thought not.
JACK,"I hear stories, rumors. You are of course aware of the ritual. POTC: On Stranger Tides -WD- 11/3/10       24."
JACK,And it requires ... what? Suddenly Jack flinches. He sports a VOODOO DART in his neck. He plucks it out.
JACK,"Zombie. The world gets woozy. Jack staggers, points a finger -- JACK  You have frozen eyeballs. And BLACKS OUT. POTC: On Stranger Tides -WD- 11/3/10       24aA."
JACK,"Aye, sir! Jack rolls out of his hammock, is handed a mop --"
JACK,Um. There's been a mistake.
JACK,I’m not supposed to be here. POTC: On Stranger Tides -WD- 11/3/10       26. CONTINUED:  31 31
JACK,"No. You see, I am Captain Jack Sparrow. The original."
JACK,Where am I?
JACK,There’s a glass coffin.
JACK,Scrum. Why is there a glass coffin?
JACK,Where am I?
JACK,Blackbeard.
JACK,"That fellow seems odd. French, is my guess."
JACK,"And perpetually ill-tempered. Jack smiles at Gunner, who sneers --"
JACK,"Five days underway, at least ..."
JACK,"The smell of the crew. Jack glances up, notices something. Squints. JACK  What did that fellow do, and how can I make sure to not? Jack gestures, Scrum looks -- BENEATH THE CROW’S NEST, a PRISONER is lashed to the mast, hands tied behind his back. A young man, dressed in a frayed cape. This is PHILIP SWIFT."
JACK,A man of the cloth -- on this ship? POTC: On Stranger Tides -WD- 11/3/10       29.
JACK,"No, odd is standing mid-ships back there with a whip."
JACK,Her. Our First Mate is a her.
JACK,"You are a ruthless, soulless crossgrained cur."
JACK,No. Blackbeard has a ship. Upon which I am now imprisoned.
JACK,Blackbeard. Edward Teach. The pirate all pirates fear. Resurrector of the dead in his spare time.
JACK,He listens to no one.
JACK,"Daughter, as in, beget by?"
JACK,He bought that.
JACK,"Then it’s the Fountain of Youth for him, or him and you, not you and I."
JACK,You’ll be handling that part yourself?
JACK,I’ve seen a thing or two.
JACK,"I can do that too, if you don’t count women, weather, and ... other things that are hard to predict."
JACK,You believe that?
JACK,Not much to hang your hat on.
JACK,Interesting.
JACK,"Tonight. Salaman nods, passes the word to a wizened pirate, EZEKIEL --"
JACK,"The topic is mutiny, gentlemen. Mutiny most foul."
JACK,"On to it, then. Blackbeard. What are his habits?"
JACK,"Yes. But, when he comes out? He must come out sometime.  Any of you sailed with him before? The Pirates glance at each other. No takers. JACK  Stays to his cabin. No one's sailed with him. No one's seen him. Good news, gentlemen. This is not Blackbeard’s ship. This is not the Queen Anne's Revenge."
JACK,How do you know? POTC: On Stranger Tides -WD- 11/3/10       35.
JACK,"Right, then. Gentlemen, a man’s first duty is less to his office than his own honor, and that he cannot perform if deceived."
JACK,"Aye. Ye’ve nay be informed of our destination. Death lies before us. We sail for the Fountain of Youth.  It be a sorry plight, mates."
JACK,Unless ... we take the ship.
JACK,"We take the ship, then. Now!"
JACK,Quick now!
JACK,It’s a dream. Angelica hears sounds of fighting.
JACK,"We’re taking the ship. Fair warning. You might want to -- With a SCREAM and a series of curses, Angelica leaps out of bed, sword in hand --"
JACK,"... stay out of it. The sword is pulled back; Jack turns just in time, taking up the attack of the Gunner, coming at him --"
JACK,He’s religious. I believe it’s required. Shouts from below --
JACK,"Fight! To the bitter end, you cack- handed deck apes! Angelica joins the Zombies, takes on three pirates, defending herself expertly. Jack outduels the Quartermaster, drives him to his knees. Pirates swoop in behind, lash him to a mast -- JACK  Take 'em, men. Tie 'em down tight! The crew have the numbers, and the advantage. Officers are overwhelmed, fighting two, three against one -- JACK  The ship is ours! Jack thrusts his sword in the air. The pirates do not join him; instead, they stare with horror -- Behind Jack, silhouetted against the moonlight, a nightmare of a man. Wrapped in bandoliers, draped in pistols, surrounded by smoke from fuses twined into his black beard. A hand hangs to his side, grasping a bottle of whisky. Edward Teach. BLACKBEARD. Jack turns as Blackbeard raises the whisky bottle, drains it in one long swallow. JACK  Ah. Blackbeard tosses the bottle away."
JACK,Captain. Sir. I am here to report a mutiny. I can name fingers and point names --
JACK,"Have I told you, sir, what a lovely daughter you have?"
JACK,Me. I stood watch. Sir. Blackbeard laughs. Looks to Gunner --
JACK,"I’ve no interest in the Fountain, so if your heart’s set, just drop me off anywhere."
JACK,"And you? The mighty Blackbeard. Beheaded, they say, and still you swam three times around your ship, then climbed back on board.  Yet here you are, running scared --"
JACK,To the Fountain. Blackbeard approaches Jack.
JACK,You have a high regard for fate.
JACK,I'm skeptical of predicting any future which includes me.
JACK,The mutiny served me well. I gained an audience with you.
JACK,"To warn you. Regarding your First Mate, who pretends to be persons she is not."
JACK,"She is not your daughter. What she is, is evil. More to be feared than a wild beast. Hungry wild beast. From hell. (ticks off the list on his fingers) Vengeful, hungry, from hell. Beast. And wild."
JACK,"Sir. The woman is consummate in the art of deception. OUTSIDE, near the door, Angelica stops, listens in on the conversation. BACK INSIDE -- POTC: On Stranger Tides -WD- 11/3/10       45."
JACK,But it was so easy.
JACK,Darling! Angelica steps into the room --
JACK,"I’ll have a look-see at those charts, straight away, if you don’t mind."
JACK,"Hola. Come. A drink. Jack tosses a glass to Angelica, nods to Scrum, who plays a Spanish tune on his mandola."
JACK,"Yes. Winding, twisting, turning, and writhing. Do you recall Saint Dominique?"
JACK,Either or. He pours her glass.
JACK,Was I the first? I wondered.
JACK,"This dance, m’lady. Jack times his request with the roll of the deck; off balance, she ends up in his arms. ANGLE: the Queen Anne's Revenge beneath the moon, anchored in a rolling sea, two figures dance on the swaying deck. POTC: On Stranger Tides -WD- 11/3/10       49. Jack spins Angelica back into the rigging, with the SWAY of the ship he falls into her arms, as if she pulled him. JACK  Here? With your father on board? We’ll have to be very quiet."
JACK,"The truth? You’re going to get yourself killed, and I’m not inclined to stand by and watch."
JACK,"Blackbeard has served his purpose. Land is within reach. You and I can flee, go on to the Fountain together. There’ll be fame enough to share."
JACK,The profane ritual. The SWAY of the ship takes them out of the rigging. Jack turns it into an elegant spin.
JACK,Coincidentally.
JACK,"When once a liar speaks the truth, he yearns for trust so. Jack grabs a line. Gets a running start, swings off, into the night. Then swoops in behind her, drops lightly to the deck. POTC: On Stranger Tides -WD- 11/3/10       50."
JACK,Ah. And?
JACK, Tell me the rules.
JACK,"We are thick as thieves. Angelica. He slips the ring onto her finger. In return, she whispers:"
JACK,Yes.
JACK,I find my desire for the Fountain greatly lessened.
JACK,So true.
JACK,Blackbeard?
JACK,"The Black Pearl. In a bottle. My ship is in a bottle. INSIDE THE BOTTLE, on the deck of the Black Pearl, Jack’s face 83 83 looms as large as a thundercloud. JACK THE MONKEY climbs up the rigging on the otherwise empty ship -- Suddenly the monkey's face LOOMS LARGE, DISTORTED BY THE GLASS -- 84 84 he SCREECHES -- Jack jumps back. 85 85"
JACK,He’s even more annoying in miniature.
JACK,Angelica -- I know you. You are not going to steal the life of some innocent man.
JACK,You’ve fallen for your own con.
JACK,"You lied to me, by telling the truth."
JACK,That's good. May I use that?
JACK,"You'll not give up this quest, then."
JACK,"Angelica, your father ... Blackbeard. He is evil and he will kill you, given the chance. He cannot be saved."
JACK,Or because I want you to believe that it works?
JACK,And you smell nice. But that’s beside the point. Jack is jerked forward as she drifts the doll to her bosom.
JACK," I want you. Next question? Jack comes close; his fingers entwine hers, surreptitiously grasping the doll ... he leans in to her waiting lips -- there is a sudden CLANG of the SHIP’S BELL -- QUARTERMASTER   Whitecap Bay!"
JACK,"We require a mermaid's tear. So, we require a mermaid."
JACK,You ever seen a mermaid? You start with a shark. Give them weapons. And make them all women. POTC: On Stranger Tides -WD- 11/3/10       55. CONTINUED:  85 85
JACK,Did you miss the part about the sharks?
JACK,"Is that story still out there? A mermaid’s favor, perhaps, that sounds more like it."
JACK,How so? POTC: On Stranger Tides -WD- 11/3/10       56.
JACK,"Retreat, all! To land! For your lives! POTC: On Stranger Tides -WD- 11/3/10       62aA. Jack looks out. Everywhere Pirates battle the Mermaids, but the Pirates are losing -- and out in the bay, the water churns, a new wave of mermaids approaching. Pirates retreat onto land. Suddenly a line of SEAWEED shoots in 111 111 from the dark like a whip, wrapping around the pirate, pulling him away --"
JACK,"Please, don’t -- -- and SLAPS Jack, hard, his head spinning, water flying off his dreads. The Mermaid takes off with the others -- ELSEWHERE, Angelica pulls Blackbeard to his feet. Suddenly, a 120 120 commotion on shore:"
JACK,Did everyone see that? Cause I’m not doing it twice. Blackbeard glares at Jack.
JACK,Was that necessary?
JACK,"What I want first is Ponce de Leon’s ship. ON THE COMPASS, as it MOVES, ADJUSTS to a different direction. Jack snaps it closed, sets forth --"
JACK,"Now, what is the ritual again? Water from the Fountain, and a mermaid’s tear - - POTC: On Stranger Tides -WD- 11/3/10       67."
JACK,"So, one with a tear -- and water in both? These things can get complicated."
JACK,"How many years? A rather larger snake swims near. Jack jumps behind Angelica. Angelica grabs it, wields it at Jack."
JACK,"Run it by me again? Slowly? You need two Chalices -- Angelica, exasperated, curses at Jack in Spanish as she walks away --"
JACK,"Clergyman. On the off chance this does not go well for me, I want it noted that I will believe in whatever I must to get into heaven."
JACK,"No, no. I was thinking more of ... on an as-needed basis. Philip doesn’t answer; he has spotted a problem with Syrena, starts to move away -- Philip moves close to the glass. Syrena rises up, and transforms 130 130 to her half-human state. Her eyes, full of reproach, meet his. Philip notes: the glass cover is sealed, and chained closed. He glances back down. Looks closely. Syrena's skin is pale. Her eyes flutter. Breathing labored."
JACK,"I support the missionary’s position. The Quartermaster laughs. Philip takes the opportunity to grab the Quartermaster’s sword, wedges up the cover, breaking the seal. Syrena goes to the crack, breathes the air hungrily."
JACK,"As I thought. Not this way -- Too late. Angelica notes what Jack has seen: the remains of a bridge, pylons on each side, rope hanging."
JACK,We can go around. To the east. POTC: On Stranger Tides -WD- 11/3/10       69.
JACK,"Aye, well, then we circle back. Angelica glances at the Quartermaster, who shakes his head."
JACK,"Well, you insisted on bringing a mermaid --"
JACK,You walk like a girl --
JACK,You mean jump?  This I cannot wait to see. Blackbeard turns to Jack.
JACK,What makes you think he will come back?
JACK,She’ll go.
JACK,"A day’s march north, following that river, until you reach a series of pools. Then you’re close. Blackbeard plucks the Compass out of Jack’s hand. Jack reaches for it, thinks the better of it."
JACK,"You know that feeling you get, sometimes, standing in a high place, a sudden urge to jump? I’m not feeling that. Blackbeard pulls one of his pistols, aims it a Jack."
JACK,Shoot. Save me the bother of the fall. Blackbeard considers ... moves his pistol over to Angelica.
JACK,You would not kill your own daughter.
JACK,"Please. None of them are loaded -- POTC: On Stranger Tides -WD- 11/3/10       71A. CONTINUED:  131 131 Jack picks one of the pistols, points it a tree, pulls the trigger -- it FIRES. Jack is shocked. JACK  If you’re so willing to kill her, let her jump."
JACK,You. If I jump. Will I survive? The Quartermaster stares at Jack a long time. He steps over to Angelica.
JACK,"Wet. Again. Again. ABOVE, on chasm edge, Angelica turns to Blackbeard. POTC: On Stranger Tides -WD- 11/3/10       72. CONTINUED:  131 131"
JACK,"The Santiago. Famously captained by Ponce de Leon. Jack nods, then realizes nobody is there. JACK  Right, then. Jack climbs upwards --"
JACK,"Ponce de Leon. BARBOSSA  If forty pirates dreamt forty nights of treasure, it wouldn’t match the contents of this room. Jack whirls, sword in one hand, torch in the other. Out of the shadows steps Barbossa, sword drawn."
JACK,You.
JACK,"No, you."
JACK,Blackbeard sent me. You? POTC: On Stranger Tides -WD- 11/3/10       80. CONTINUED:  139 139
JACK,"Right, then. So we each choose an item of approximately equal weight, then -- Jack reaches for a stack of coins --"
JACK,"Ruddy hell. I’ll have it. Jack grabs the treasure, the ship overbalances --"
JACK,What about that?
JACK,"Hey! Jack takes a step back to counter. Barbossa steps back again, and the chest comes all the way to him. JACK  Why do you get to look first? POTC: On Stranger Tides -WD- 11/3/10       81."
JACK,"Empty. One can see where the Chalices would fit. Jack lifts up: two stones, set inside."
JACK,"They’re ahead of us, mate. Jack drops the stones back into the chest. JACK  I’ll have a look at that map. If it’s what I fear ... Jack and Barbossa move to either side of the bed, lean in, next to the skeleton."
JACK,"Aye. The Spanish know the path. I wonder why they left this behind -- Jack reaches for the map -- And the SKELETON HEAD TURNS, pointedly looking at Jack. Intensely creepy. Jack pulls his hand back ... and Ponce turns back to examining the map for all eternity."
JACK,"Gibbs! I was just on my way to come break you out of jail!  You stole my map. Gibbs shrugs; ‘yeah, true’; Barbossa stands."
JACK,There's a girl.
JACK,I should say ... a damsel.
JACK,Aye.
JACK,"Aye. It's just .... I may have ... done the lady some manner of harm, back in the day."
JACK,Gibbs. This is the woman from Seville.
JACK,"Worse. I may have had, briefly mind you ... stirrings."
JACK,Aye.
JACK,"No, not quite all the way to feelings. All right, feelings then, damn you!"
JACK,"Thank you. Suddenly Barbossa turns -- slashes a hand across his throat, telling them to be quiet. Points ahead, to -- In the distance, ruins of the long-ago fort, nearly covered by jungle. The Spanish have made camp. JACK  Stealth over force. I’ll take it from here, on account of your condition.  You don’t get termites, do you?"
JACK,Your sword smells funny.
JACK,"Point that thing the other way, will you? They reach the two palm trees. Barbossa stares, calculating. JACK  What are you doing?"
JACK,"(he never thought of that) Yes. Or. Sometimes, I just, improvise. They reach the ruins of a wall."
JACK,They’re beautiful. I’ve got to have them. Jack takes off --
JACK,"We stroll out. Slow and steady. Like you belong. Jack and Barbossa stroll, confident, like they have every reason to be there. Jack waves at a passing Spaniard, who goes by, does a double take -- draws his sword. Two other Spaniards join him; Jack and Barbossa working together, make quick work of them. Round a corner -- Find themselves face-to-face with three dozen Soldiers."
JACK,How’s that escape route working?
JACK,"Working on it. Might be able to get a hand loose ... Barbossa reaches forward awkwardly, hands still tied. Lifts his wooden leg, works hard to unscrew it. JACK  You’ve a knife. Good."
JACK,"I want one of those! Barbossa scoots the cup over to Jack. Jack gets a hand loose, drinks. Barbossa drinks from his wooden leg. JACK  Here’s to revenge, sweet and clear."
JACK,"Come clean with it, Hector. If you’d wanted the Chalices, you’d have seen they were missing and gone. You were lying in wait. For Blackbeard. POTC: On Stranger Tides -WD- 11/3/10       88."
JACK,"King George, Privateer, the wig. Cheap theatrical facade. Not buying it. Barbossa bristles. Then --"
JACK,When the Pearl was lost.
JACK,Aye. As have I.
JACK,So. You’re not after the Fountain?
JACK,Not your right?
JACK,"I’ll see you get the chance. Using the rope wrapped around the tree as leverage, he schootches up the trunk, to a crouched position, then standing, then OUT OF FRAME. The Guards notice what is happening --"
JACK,"No need. Anyone care for a drink? Jack produces the two silver Chalices. Barbossa keeps moving, the others following --"
JACK,"Aye. Jack steps aside. Behind him, a good twenty feet away, Gibbs holds down a WILD BOAR, squealing and struggling. Tied to the back of the boar are the silver Chalices."
JACK,"Aye. Now, before I go just handing them over, I’ve one or two conditions."
JACK,"Firstly, I’ll be having my Compass back. No, that’s secondly. Firstly, upon your word, you will bring no harm to Angelica."
JACK,"Secondly, then, priorly firstly. I’ll be having my Compass back.  Come now. I deserve it. You have no idea how hard it was to catch that pig. Blackbeard nods. Angelica tosses Jack the Compass. JACK  Fine, then, and thirdly. Mister Teach more famously known as Blackbeard, you are not the only man in possession of a tattered soul. As I reflect on my misdeeds, chief among them, I note how poorly I have treated my loyal First Mate there, Mister Gibbs."
JACK,"Left him to rot in jail, I did, without a second thought or remorseful tingle. Point being, I’ll not subject him to the horrors to come. You’ll let him go free."
JACK,"Aye. Quick, or the pig runs. And good luck getting those Chalices."
JACK,"That'll lead you to freedom, 'mate. They exchange a look. Gibbs regards the Compass, as Blackbeard and Jack and the rest of the group move away."
JACK,"I swear, it was somewhere right around here. Jack steps forward, followed by Angelica, Blackbeard, Blackbeard’s entourage, and a bound Philip. CLOSE ON: a second frond is pushed aside; behind it is only Jack’s face. The frond is small. Jack examines it, notes a drop of water on its edge. He shakes the drop onto his hand -- The drop dances through Jack’s fingers, moving in and around, seeming at times to defy gravity, dripping upwards, and bending forward -- Jack follows the angle of the drop, looks THROUGH THE WATER DROP, and sees, carved in the rock wall, the precise archaic symbol that was on Ponce de Leon’s map and in the ship’s log book. When the drop flies upwards off Jack’s finger, the distortion is gone, and the symbol is gone as well. Beneath the rock wall is REVEALED: a cave entrance, darkness arching over deep still waters. Jack smiles. He knows he’s close."
JACK,Ah! Dead end. POTC: On Stranger Tides -WD- 11/3/10       94A.
JACK,Yep.
JACK,"It’s not the destination so much as the journey, they say. The Chalices, if you please. Blackbeard indicates Jack be given the Chalices. The Quartermaster steps forward, pulls the Chalices from a pouch. He is protective of them, mistrustful, and reluctantly hands them over. Jack takes them, holds one in each hand, spreads his arms, then with a flourish, brings them together -- they CHIME. All wait. The chime FADES. Jack’s confident look falters. He CHIMES them again. Nothing. Angelica moves toward Jack, stalking him."
JACK,"You know, I never actually said that I had. Blackbeard cries out in anger, outrage. He pulls one of his pistols, FIRES at Jack -- -- in reflex, Jack raises a Chalice to his face; the bullet ricochets off. Jack gazes at the dent in wonder. Blackbeard aims another pistol -- Jack raises his hand. JACK  Wait. Jack stares at the Chalices. CLOSE ON: the inscribed words: ‘Aqua’ on one Chalice, and ‘de Vida’ on the other. JACK  Aqua de Vida. POTC: On Stranger Tides -WD- 11/3/10       95. CONTINUED:  165 165 There is the immediate SOUND of water. All look, see ... along the sides of the cave, the odd sight of water RISING. Just a trickle at first -- POTC: On Stranger Tides -WD- 11/3/10       95A. CONTINUED:  165 165 More and more WATER appears, moving upwards. Rivulets turn to streams, collecting upwards into a pool above their heads. They stare, not sure what to do -- and then a bird flies into the cave, a colorful TOH with distinctive tail -- and INTO the rising water. The bird SHOOTS upwards -- JACK  Interesting."
JACK,"As I musted. Barbossa strides forward, speaking for all to hear --"
JACK,"Hold. Everyone actually stops. Jack is surprised, but goes with it. He counts each side, bobbing his finger. JACK  We look to be evenly matched. So you'll - -  -- fight against them --  -- and they'll --  -- fight against you. All on account of just him --  -- wanting to kill him.  Where's the sense? He looks at Scrum, who shrugs, he doesn't know. JACK  Exactly. I say let ‘em fight each other, while we lay back, watch, and place wagers. Aye? For a moment it seems they all might go for it. Then --"
JACK,Hand it over. The tear. There’s a good lad.
JACK,"Hah. Jack turns -- and Angelica is there, sword leveled. Two Chalices in her other hand. Beside him, Scrum pushes his sword into Jack’s neck."
JACK,"The Chalices, if you please."
JACK,What of the clergyman? You're wasting a perfectly good sap.
JACK,"You will need this, then.  And soon, by the looks of it. Angelica glances over, sees Barbossa fighting Blackbeard."
